Namespace(batch_size=128, data_dir='~/.mxnet/datasets/coco', dtype='float16', input_size='256,192', last_gamma=False, log_interval=20, logging_file='simple_pose_resnet50_v1d.log', lr=0.008, lr_decay=0.1, lr_decay_epoch='90,120', lr_decay_period=0, lr_mode='step', mode='hybrid', model='simple_pose_resnet50_v1b', no_wd=True, num_epochs=140, num_gpus=8, num_joints=17, num_workers=60, save_dir='params_simple_pose_resnet50_v1d', save_frequency=1, use_pretrained=False, use_pretrained_base=True, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[19] Batch [119]	Speed: 2508.863406 samples/sec	loss=0.000682	lr=0.008000
Epoch[19] Batch [139]	Speed: 2376.449574 samples/sec	loss=0.000669	lr=0.008000
Epoch[20] Batch [19]	Speed: 469.586167 samples/sec	loss=0.000670	lr=0.008000
Epoch[20] Batch [39]	Speed: 1842.371103 samples/sec	loss=0.000622	lr=0.008000
Epoch[20] Batch [59]	Speed: 1773.749414 samples/sec	loss=0.000696	lr=0.008000
Epoch[20] Batch [79]	Speed: 1985.144350 samples/sec	loss=0.000666	lr=0.008000
Epoch[20] Batch [99]	Speed: 2423.618432 samples/sec	loss=0.000687	lr=0.008000
Epoch[20] Batch [119]	Speed: 2552.110798 samples/sec	loss=0.000699	lr=0.008000
Epoch[20] Batch [139]	Speed: 2340.388981 samples/sec	loss=0.000653	lr=0.008000
Epoch[21] Batch [19]	Speed: 466.764627 samples/sec	loss=0.000680	lr=0.008000
Epoch[21] Batch [39]	Speed: 1791.323562 samples/sec	loss=0.000660	lr=0.008000
Epoch[21] Batch [59]	Speed: 1767.454906 samples/sec	loss=0.000658	lr=0.008000
Epoch[21] Batch [79]	Speed: 2019.890213 samples/sec	loss=0.000636	lr=0.008000
Epoch[21] Batch [99]	Speed: 2433.048135 samples/sec	loss=0.000666	lr=0.008000
Epoch[21] Batch [119]	Speed: 2559.957429 samples/sec	loss=0.000691	lr=0.008000
Epoch[21] Batch [139]	Speed: 2374.610316 samples/sec	loss=0.000675	lr=0.008000
Epoch[22] Batch [19]	Speed: 459.803631 samples/sec	loss=0.000713	lr=0.008000
Epoch[22] Batch [39]	Speed: 1867.663325 samples/sec	loss=0.000659	lr=0.008000
Epoch[22] Batch [59]	Speed: 1798.799836 samples/sec	loss=0.000665	lr=0.008000
Epoch[22] Batch [79]	Speed: 2156.503602 samples/sec	loss=0.000653	lr=0.008000
Epoch[22] Batch [99]	Speed: 2502.807403 samples/sec	loss=0.000680	lr=0.008000
Epoch[22] Batch [119]	Speed: 2557.414114 samples/sec	loss=0.000677	lr=0.008000
Epoch[22] Batch [139]	Speed: 2396.725215 samples/sec	loss=0.000618	lr=0.008000
Epoch[23] Batch [19]	Speed: 469.935908 samples/sec	loss=0.000704	lr=0.008000
Epoch[23] Batch [39]	Speed: 1908.845170 samples/sec	loss=0.000666	lr=0.008000
Epoch[23] Batch [59]	Speed: 1798.140318 samples/sec	loss=0.000691	lr=0.008000
Epoch[23] Batch [79]	Speed: 2011.451496 samples/sec	loss=0.000686	lr=0.008000
Epoch[23] Batch [99]	Speed: 2437.548231 samples/sec	loss=0.000671	lr=0.008000
Epoch[23] Batch [119]	Speed: 2564.342375 samples/sec	loss=0.000701	lr=0.008000
Epoch[23] Batch [139]	Speed: 2420.833517 samples/sec	loss=0.000694	lr=0.008000
Epoch[24] Batch [19]	Speed: 462.599613 samples/sec	loss=0.000683	lr=0.008000
Epoch[24] Batch [39]	Speed: 1864.716297 samples/sec	loss=0.000640	lr=0.008000
Epoch[24] Batch [59]	Speed: 1786.860194 samples/sec	loss=0.000649	lr=0.008000
Epoch[24] Batch [79]	Speed: 2089.056244 samples/sec	loss=0.000660	lr=0.008000
Epoch[24] Batch [99]	Speed: 2504.049826 samples/sec	loss=0.000708	lr=0.008000
Epoch[24] Batch [119]	Speed: 2498.512179 samples/sec	loss=0.000686	lr=0.008000
Epoch[24] Batch [139]	Speed: 2381.541552 samples/sec	loss=0.000649	lr=0.008000
Epoch[25] Batch [19]	Speed: 455.713615 samples/sec	loss=0.000699	lr=0.008000
Epoch[25] Batch [39]	Speed: 1823.928879 samples/sec	loss=0.000635	lr=0.008000
Epoch[25] Batch [59]	Speed: 1779.685224 samples/sec	loss=0.000638	lr=0.008000
Epoch[25] Batch [79]	Speed: 2052.419085 samples/sec	loss=0.000666	lr=0.008000
Epoch[25] Batch [99]	Speed: 2433.325893 samples/sec	loss=0.000657	lr=0.008000
Epoch[25] Batch [119]	Speed: 2582.164978 samples/sec	loss=0.000690	lr=0.008000
Epoch[25] Batch [139]	Speed: 2354.820081 samples/sec	loss=0.000659	lr=0.008000
Epoch[26] Batch [19]	Speed: 467.166306 samples/sec	loss=0.000672	lr=0.008000
Epoch[26] Batch [39]	Speed: 1764.996107 samples/sec	loss=0.000640	lr=0.008000
Epoch[26] Batch [59]	Speed: 1774.316169 samples/sec	loss=0.000682	lr=0.008000
Epoch[26] Batch [79]	Speed: 2034.098136 samples/sec	loss=0.000623	lr=0.008000
Epoch[26] Batch [99]	Speed: 2456.433952 samples/sec	loss=0.000705	lr=0.008000
Epoch[26] Batch [119]	Speed: 2542.997513 samples/sec	loss=0.000639	lr=0.008000
Epoch[26] Batch [139]	Speed: 2394.321360 samples/sec	loss=0.000640	lr=0.008000
Epoch[27] Batch [19]	Speed: 463.014018 samples/sec	loss=0.000684	lr=0.008000
Epoch[27] Batch [39]	Speed: 1831.752955 samples/sec	loss=0.000597	lr=0.008000
Epoch[27] Batch [59]	Speed: 1823.492673 samples/sec	loss=0.000644	lr=0.008000
Epoch[27] Batch [79]	Speed: 2090.691477 samples/sec	loss=0.000632	lr=0.008000
Epoch[27] Batch [99]	Speed: 2477.139660 samples/sec	loss=0.000646	lr=0.008000
Epoch[27] Batch [119]	Speed: 2546.213864 samples/sec	loss=0.000679	lr=0.008000
Epoch[27] Batch [139]	Speed: 2346.942230 samples/sec	loss=0.000626	lr=0.008000
Epoch[28] Batch [19]	Speed: 444.852930 samples/sec	loss=0.000704	lr=0.008000
Epoch[28] Batch [39]	Speed: 1844.352351 samples/sec	loss=0.000645	lr=0.008000
Epoch[28] Batch [59]	Speed: 1676.931870 samples/sec	loss=0.000656	lr=0.008000
Epoch[28] Batch [79]	Speed: 2156.553573 samples/sec	loss=0.000633	lr=0.008000
Epoch[28] Batch [99]	Speed: 2510.202001 samples/sec	loss=0.000690	lr=0.008000
Epoch[28] Batch [119]	Speed: 2455.742647 samples/sec	loss=0.000679	lr=0.008000
Epoch[28] Batch [139]	Speed: 2403.128587 samples/sec	loss=0.000649	lr=0.008000
Epoch[29] Batch [19]	Speed: 442.316946 samples/sec	loss=0.000683	lr=0.008000
Epoch[29] Batch [39]	Speed: 1802.204361 samples/sec	loss=0.000672	lr=0.008000
Epoch[29] Batch [59]	Speed: 1782.935922 samples/sec	loss=0.000637	lr=0.008000
Epoch[29] Batch [79]	Speed: 2096.070855 samples/sec	loss=0.000714	lr=0.008000
Epoch[29] Batch [99]	Speed: 2482.827774 samples/sec	loss=0.000654	lr=0.008000
Epoch[29] Batch [119]	Speed: 2493.326554 samples/sec	loss=0.000633	lr=0.008000
Epoch[29] Batch [139]	Speed: 2367.189488 samples/sec	loss=0.000659	lr=0.008000
Epoch[30] Batch [19]	Speed: 466.453817 samples/sec	loss=0.000640	lr=0.008000
Epoch[30] Batch [39]	Speed: 1820.697064 samples/sec	loss=0.000605	lr=0.008000
Epoch[30] Batch [59]	Speed: 1773.043025 samples/sec	loss=0.000642	lr=0.008000
Epoch[30] Batch [79]	Speed: 2089.561169 samples/sec	loss=0.000659	lr=0.008000
Epoch[30] Batch [99]	Speed: 2487.521997 samples/sec	loss=0.000687	lr=0.008000
Epoch[30] Batch [119]	Speed: 2536.704786 samples/sec	loss=0.000646	lr=0.008000
Epoch[30] Batch [139]	Speed: 2376.085924 samples/sec	loss=0.000579	lr=0.008000
Epoch[31] Batch [19]	Speed: 476.822648 samples/sec	loss=0.000654	lr=0.008000
Epoch[31] Batch [39]	Speed: 1823.499834 samples/sec	loss=0.000656	lr=0.008000
Epoch[31] Batch [59]	Speed: 1807.820711 samples/sec	loss=0.000625	lr=0.008000
Epoch[31] Batch [79]	Speed: 1950.475438 samples/sec	loss=0.000621	lr=0.008000
Epoch[31] Batch [99]	Speed: 2416.828285 samples/sec	loss=0.000600	lr=0.008000
Epoch[31] Batch [119]	Speed: 2567.037574 samples/sec	loss=0.000639	lr=0.008000
Epoch[31] Batch [139]	Speed: 2419.107238 samples/sec	loss=0.000604	lr=0.008000
Epoch[32] Batch [19]	Speed: 449.196324 samples/sec	loss=0.000618	lr=0.008000
Epoch[32] Batch [39]	Speed: 1800.236973 samples/sec	loss=0.000642	lr=0.008000
Epoch[32] Batch [59]	Speed: 1783.232248 samples/sec	loss=0.000646	lr=0.008000
Epoch[32] Batch [79]	Speed: 2047.794015 samples/sec	loss=0.000641	lr=0.008000
Epoch[32] Batch [99]	Speed: 2389.600012 samples/sec	loss=0.000632	lr=0.008000
Epoch[32] Batch [119]	Speed: 2491.724624 samples/sec	loss=0.000647	lr=0.008000
Epoch[32] Batch [139]	Speed: 2392.720446 samples/sec	loss=0.000624	lr=0.008000
Epoch[33] Batch [19]	Speed: 446.066955 samples/sec	loss=0.000662	lr=0.008000
Epoch[33] Batch [39]	Speed: 1853.387315 samples/sec	loss=0.000607	lr=0.008000
Epoch[33] Batch [59]	Speed: 1743.112526 samples/sec	loss=0.000642	lr=0.008000
Epoch[33] Batch [79]	Speed: 2157.891970 samples/sec	loss=0.000677	lr=0.008000
Epoch[33] Batch [99]	Speed: 2499.083301 samples/sec	loss=0.000672	lr=0.008000
Epoch[33] Batch [119]	Speed: 2477.726209 samples/sec	loss=0.000662	lr=0.008000
Epoch[33] Batch [139]	Speed: 2369.234522 samples/sec	loss=0.000619	lr=0.008000
Epoch[34] Batch [19]	Speed: 448.712283 samples/sec	loss=0.000614	lr=0.008000
Epoch[34] Batch [39]	Speed: 1808.326079 samples/sec	loss=0.000589	lr=0.008000
Epoch[34] Batch [59]	Speed: 1767.927439 samples/sec	loss=0.000595	lr=0.008000
Epoch[34] Batch [79]	Speed: 2074.027805 samples/sec	loss=0.000612	lr=0.008000
Epoch[34] Batch [99]	Speed: 2495.443194 samples/sec	loss=0.000654	lr=0.008000
Epoch[34] Batch [119]	Speed: 2528.897092 samples/sec	loss=0.000664	lr=0.008000
