Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 4][Batch 199], Speed: 222.150 samples/sec, CrossEntropy=4.158, SmoothL1=4.117
[Epoch 4][Batch 299], Speed: 125.482 samples/sec, CrossEntropy=4.159, SmoothL1=4.156
[Epoch 4][Batch 399], Speed: 194.884 samples/sec, CrossEntropy=4.157, SmoothL1=4.202
[Epoch 4][Batch 499], Speed: 186.745 samples/sec, CrossEntropy=4.152, SmoothL1=4.180
[Epoch 4][Batch 599], Speed: 134.842 samples/sec, CrossEntropy=4.154, SmoothL1=4.194
[Epoch 4][Batch 699], Speed: 210.511 samples/sec, CrossEntropy=4.152, SmoothL1=4.217
[Epoch 4][Batch 799], Speed: 188.868 samples/sec, CrossEntropy=4.147, SmoothL1=4.224
[Epoch 4][Batch 899], Speed: 179.399 samples/sec, CrossEntropy=4.145, SmoothL1=4.217
[Epoch 4][Batch 999], Speed: 129.675 samples/sec, CrossEntropy=4.145, SmoothL1=4.210
[Epoch 4][Batch 1099], Speed: 101.792 samples/sec, CrossEntropy=4.144, SmoothL1=4.211
[Epoch 4][Batch 1199], Speed: 159.013 samples/sec, CrossEntropy=4.140, SmoothL1=4.220
[Epoch 4][Batch 1299], Speed: 194.838 samples/sec, CrossEntropy=4.141, SmoothL1=4.219
[Epoch 4][Batch 1399], Speed: 166.788 samples/sec, CrossEntropy=4.141, SmoothL1=4.207
[Epoch 4][Batch 1499], Speed: 197.438 samples/sec, CrossEntropy=4.140, SmoothL1=4.199
[Epoch 4][Batch 1599], Speed: 216.027 samples/sec, CrossEntropy=4.137, SmoothL1=4.191
[Epoch 4][Batch 1699], Speed: 119.486 samples/sec, CrossEntropy=4.134, SmoothL1=4.186
[Epoch 4][Batch 1799], Speed: 136.431 samples/sec, CrossEntropy=4.132, SmoothL1=4.190
[Epoch 4][Batch 1899], Speed: 220.116 samples/sec, CrossEntropy=4.132, SmoothL1=4.195
[Epoch 4][Batch 1999], Speed: 179.459 samples/sec, CrossEntropy=4.128, SmoothL1=4.197
[Epoch 4][Batch 2099], Speed: 146.905 samples/sec, CrossEntropy=4.126, SmoothL1=4.189
[Epoch 4][Batch 2199], Speed: 229.375 samples/sec, CrossEntropy=4.123, SmoothL1=4.193
[Epoch 4][Batch 2299], Speed: 195.486 samples/sec, CrossEntropy=4.121, SmoothL1=4.186
[Epoch 4][Batch 2399], Speed: 158.487 samples/sec, CrossEntropy=4.118, SmoothL1=4.184
[Epoch 4][Batch 2499], Speed: 169.151 samples/sec, CrossEntropy=4.116, SmoothL1=4.181
[Epoch 4][Batch 2599], Speed: 183.043 samples/sec, CrossEntropy=4.115, SmoothL1=4.186
[Epoch 4][Batch 2699], Speed: 155.403 samples/sec, CrossEntropy=4.115, SmoothL1=4.193
[Epoch 4][Batch 2799], Speed: 166.968 samples/sec, CrossEntropy=4.113, SmoothL1=4.195
[Epoch 4][Batch 2899], Speed: 121.810 samples/sec, CrossEntropy=4.111, SmoothL1=4.193
[Epoch 4][Batch 2999], Speed: 145.387 samples/sec, CrossEntropy=4.110, SmoothL1=4.189
[Epoch 4][Batch 3099], Speed: 209.707 samples/sec, CrossEntropy=4.109, SmoothL1=4.190
[Epoch 4][Batch 3199], Speed: 175.428 samples/sec, CrossEntropy=4.108, SmoothL1=4.188
[Epoch 4][Batch 3299], Speed: 162.764 samples/sec, CrossEntropy=4.106, SmoothL1=4.186
[Epoch 4][Batch 3399], Speed: 168.911 samples/sec, CrossEntropy=4.104, SmoothL1=4.190
[Epoch 4][Batch 3499], Speed: 178.027 samples/sec, CrossEntropy=4.104, SmoothL1=4.184
[Epoch 4][Batch 3599], Speed: 173.539 samples/sec, CrossEntropy=4.102, SmoothL1=4.186
[Epoch 4] Training cost: 761.707, CrossEntropy=4.101, SmoothL1=4.190
[Epoch 5][Batch 99], Speed: 140.185 samples/sec, CrossEntropy=4.027, SmoothL1=4.326
[Epoch 5][Batch 199], Speed: 153.185 samples/sec, CrossEntropy=4.026, SmoothL1=4.321
[Epoch 5][Batch 299], Speed: 201.740 samples/sec, CrossEntropy=4.021, SmoothL1=4.260
[Epoch 5][Batch 399], Speed: 192.985 samples/sec, CrossEntropy=4.021, SmoothL1=4.263
[Epoch 5][Batch 499], Speed: 99.298 samples/sec, CrossEntropy=4.029, SmoothL1=4.246
[Epoch 5][Batch 599], Speed: 211.124 samples/sec, CrossEntropy=4.029, SmoothL1=4.215
[Epoch 5][Batch 699], Speed: 214.312 samples/sec, CrossEntropy=4.029, SmoothL1=4.188
[Epoch 5][Batch 799], Speed: 89.529 samples/sec, CrossEntropy=4.028, SmoothL1=4.188
[Epoch 5][Batch 899], Speed: 163.925 samples/sec, CrossEntropy=4.029, SmoothL1=4.179
[Epoch 5][Batch 999], Speed: 133.234 samples/sec, CrossEntropy=4.031, SmoothL1=4.152
[Epoch 5][Batch 1099], Speed: 181.393 samples/sec, CrossEntropy=4.030, SmoothL1=4.153
[Epoch 5][Batch 1199], Speed: 120.330 samples/sec, CrossEntropy=4.031, SmoothL1=4.139
[Epoch 5][Batch 1299], Speed: 146.071 samples/sec, CrossEntropy=4.029, SmoothL1=4.143
[Epoch 5][Batch 1399], Speed: 175.312 samples/sec, CrossEntropy=4.028, SmoothL1=4.140
[Epoch 5][Batch 1499], Speed: 155.117 samples/sec, CrossEntropy=4.028, SmoothL1=4.129
[Epoch 5][Batch 1599], Speed: 156.954 samples/sec, CrossEntropy=4.027, SmoothL1=4.136
[Epoch 5][Batch 1699], Speed: 142.933 samples/sec, CrossEntropy=4.028, SmoothL1=4.138
[Epoch 5][Batch 1799], Speed: 191.126 samples/sec, CrossEntropy=4.026, SmoothL1=4.134
[Epoch 5][Batch 1899], Speed: 220.505 samples/sec, CrossEntropy=4.025, SmoothL1=4.129
[Epoch 5][Batch 1999], Speed: 150.079 samples/sec, CrossEntropy=4.024, SmoothL1=4.133
[Epoch 5][Batch 2099], Speed: 161.100 samples/sec, CrossEntropy=4.023, SmoothL1=4.137
[Epoch 5][Batch 2199], Speed: 182.403 samples/sec, CrossEntropy=4.021, SmoothL1=4.141
[Epoch 5][Batch 2299], Speed: 148.835 samples/sec, CrossEntropy=4.021, SmoothL1=4.143
[Epoch 5][Batch 2399], Speed: 138.213 samples/sec, CrossEntropy=4.021, SmoothL1=4.138
[Epoch 5][Batch 2499], Speed: 123.933 samples/sec, CrossEntropy=4.020, SmoothL1=4.141
